"String","GRID","shock"
"E_Euro",75652,-0.409533219965025
"N_Afr",75653,-5.12183760998941
"SSA",75654,-11.1034239170006
"S_Amer",75655,-6.03942566144271
"AUS_NZ",75656,-1.1072291327291
"EU",75657,-0.570217052882994
"S_Asia",75658,-17.452735775047
"CC_Amer",75659,-8.87234247669489
"S_Afr",75660,-1.58893971915194
"SE_Asia",75661,-17.8958773846883
"CAN",75662,-0.3155225
"US",NA,-2.8286264
"CHN_MNG",75663,-5.86225528801234
"M_East",75664,-5.00997169446963
"JPN_KR",75665,-1.75696696494792
"C_Asia",75666,-2.07815319749557
