"String","GRID","shock"
"E_Euro",75652,-0.579223952602935
"N_Afr",75653,-5.21572825309954
"SSA",75654,-13.2798308460002
"S_Amer",75655,-4.3365597743397
"AUS_NZ",75656,-0.731887107726502
"EU",75657,-0.692131588659276
"S_Asia",75658,-14.8715626152948
"CC_Amer",75659,-8.69709399038189
"S_Afr",75660,-0.895193442410174
"SE_Asia",75661,-17.064471091302
"CAN",75662,-0.2980823
"US",NA,-2.9661421
"CHN_MNG",75663,-6.61821092403296
"M_East",75664,-4.63189671815635
"JPN_KR",75665,-2.01433736491137
"C_Asia",75666,-2.53833586816193
