"String","GRID","shock"
"E_Euro",75652,-0.613034728149942
"N_Afr",75653,-5.36972586839186
"SSA",75654,-11.8669180351065
"S_Amer",75655,-4.78088175414125
"AUS_NZ",75656,-0.983990678628672
"EU",75657,-0.673006237008752
"S_Asia",75658,-15.0300772076507
"CC_Amer",75659,-8.88974590226663
"S_Afr",75660,-1.24232000836616
"SE_Asia",75661,-17.5061694621071
"CAN",75662,-0.308387
"US",NA,-2.7299786
"CHN_MNG",75663,-6.97045832052275
"M_East",75664,-4.89617897863961
"JPN_KR",75665,-2.1348417141897
"C_Asia",75666,-2.27537785864053
